[16:01:27] NEUTRAL | BTC: -0.0057 (@67500.0) | ETH: -0.3114 (@2081.77)
[16:01:58] NEUTRAL | BTC: -0.9228 (@67397.4) | ETH: 0.0504 (@2080.68)
[16:02:29] NEUTRAL | BTC: -0.2229 (@67395.9) | ETH: 0.4023 (@2080.31)
[16:03:01] 🚀 IGNITION | BTC: 0.6109 (@67397.1) | ETH: 0.6644 (@2079.23)
[16:03:32] NEUTRAL | BTC: -0.8836 (@67342.3) | ETH: 0.2979 (@2076.71)
[16:04:03] NEUTRAL | BTC: 0.5049 (@67285.1) | ETH: -0.3983 (@2074.57)
[16:04:34] NEUTRAL | BTC: 0.5425 (@67267.3) | ETH: -0.2965 (@2073.48)
[16:05:05] 🚀 IGNITION | BTC: 0.7391 (@67284.5) | ETH: 0.5265 (@2072.7)
[16:05:37] 🚀 IGNITION | BTC: 0.8434 (@67229.9) | ETH: 0.7743 (@2070.83)
[16:06:08] 🚀 IGNITION | BTC: 0.6857 (@67183.1) | ETH: 0.8697 (@2069.95)
[16:06:39] 🚀 IGNITION | BTC: 0.8124 (@67150.1) | ETH: 0.5225 (@2069.44)
[16:07:10] ⚠️ BTC_LEAD | BTC: 0.9461 (@67126.7) | ETH: -0.4695 (@2068.99)
[16:07:42] NEUTRAL | BTC: 0.6938 (@67102.9) | ETH: 0.3200 (@2068.19)
[16:08:13] 💎 ETH_LEAD | BTC: -0.7871 (@67139.9) | ETH: 0.4967 (@2068.36)
[16:08:44] NEUTRAL | BTC: 0.2268 (@67099.0) | ETH: 0.0046 (@2067.52)
[16:09:16] NEUTRAL | BTC: -0.4160 (@67169.9) | ETH: 0.0258 (@2069.81)
[16:09:47] 💎 ETH_LEAD | BTC: -0.6483 (@67174.0) | ETH: 0.6783 (@2069.86)
[16:10:18] NEUTRAL | BTC: -0.6445 (@67178.8) | ETH: 0.0116 (@2070.05)
[16:10:49] NEUTRAL | BTC: -0.9408 (@67167.8) | ETH: 0.1683 (@2070.95)
[16:11:21] ⚠️ BTC_LEAD | BTC: 0.7173 (@67181.4) | ETH: -0.6618 (@2073.7)
[16:11:52] NEUTRAL | BTC: -0.2589 (@67231.7) | ETH: 0.3522 (@2074.15)
[16:12:23] 💎 ETH_LEAD | BTC: -0.8746 (@67185.8) | ETH: 0.6191 (@2073.15)
[16:12:54] ⚠️ BTC_LEAD | BTC: 0.5727 (@67235.4) | ETH: -0.6024 (@2074.51)
[16:13:26] NEUTRAL | BTC: 0.9250 (@67236.5) | ETH: 0.3278 (@2074.79)
[16:14:03] NEUTRAL | BTC: -0.7207 (@67251.8) | ETH: 0.3363 (@2076.6)
[16:14:34] NEUTRAL | BTC: -0.8969 (@67312.4) | ETH: -0.1738 (@2078.8)
[16:15:05] ⚠️ BTC_LEAD | BTC: 0.9431 (@67305.5) | ETH: -0.4948 (@2078.41)
[16:15:37] 💎 ETH_LEAD | BTC: -0.5036 (@67429.4) | ETH: 0.8021 (@2082.52)
[16:16:08] 💎 ETH_LEAD | BTC: -0.6583 (@67415.5) | ETH: 0.9927 (@2082.48)
[16:16:39] NEUTRAL | BTC: -0.8394 (@67402.2) | ETH: 0.0125 (@2082.01)
[16:17:10] NEUTRAL | BTC: 0.1114 (@67439.5) | ETH: 0.1803 (@2083.31)
[16:17:42] ⚠️ BTC_LEAD | BTC: 0.5957 (@67389.4) | ETH: -0.8744 (@2082.99)
[16:18:13] NEUTRAL | BTC: -0.1418 (@67525.0) | ETH: 0.1566 (@2086.01)
[16:18:44] NEUTRAL | BTC: -0.7416 (@67607.1) | ETH: -0.8690 (@2087.39)
[16:19:15] NEUTRAL | BTC: -0.4405 (@67684.9) | ETH: 0.3827 (@2088.01)
[16:19:47] NEUTRAL | BTC: 0.1009 (@67668.9) | ETH: 0.3752 (@2087.72)
[16:20:18] NEUTRAL | BTC: -0.3815 (@67639.3) | ETH: 0.4749 (@2086.46)
[16:20:49] 💎 ETH_LEAD | BTC: -0.8806 (@67691.1) | ETH: 0.7405 (@2088.15)
[16:21:20] 💎 ETH_LEAD | BTC: -0.4079 (@67602.2) | ETH: 0.4623 (@2085.8)
[16:21:51] NEUTRAL | BTC: 0.9626 (@67631.8) | ETH: -0.3326 (@2085.02)
[16:22:23] NEUTRAL | BTC: -0.0084 (@67599.7) | ETH: 0.1292 (@2084.87)
[16:22:54] NEUTRAL | BTC: -0.4023 (@67583.5) | ETH: 0.2534 (@2084.0)
[16:23:25] 🚀 IGNITION | BTC: 0.6300 (@67671.9) | ETH: 0.4616 (@2087.39)
[16:23:56] NEUTRAL | BTC: -0.3214 (@67631.4) | ETH: -0.3208 (@2086.5)
[16:24:28] NEUTRAL | BTC: -0.9398 (@67632.4) | ETH: -0.5269 (@2085.53)
[16:24:59] NEUTRAL | BTC: 0.8876 (@67621.2) | ETH: -0.1163 (@2085.14)
[16:25:30] NEUTRAL | BTC: -0.2056 (@67540.5) | ETH: -0.6291 (@2082.52)
[16:26:01] NEUTRAL | BTC: -0.4028 (@67600.5) | ETH: 0.1896 (@2082.48)
[16:26:33] NEUTRAL | BTC: 0.7781 (@67543.7) | ETH: 0.1234 (@2081.07)
[16:27:04] 🚀 IGNITION | BTC: 0.9437 (@67590.1) | ETH: 0.5576 (@2082.52)
[16:27:35] NEUTRAL | BTC: -0.7848 (@67552.6) | ETH: -0.2975 (@2082.86)
[16:28:07] ⚠️ BTC_LEAD | BTC: 0.6961 (@67500.0) | ETH: -0.7793 (@2080.96)
[16:28:38] NEUTRAL | BTC: -0.8007 (@67583.3) | ETH: -0.2190 (@2083.21)
[16:29:09] NEUTRAL | BTC: 0.6441 (@67599.9) | ETH: -0.2881 (@2083.45)
[16:29:40] ⚠️ BTC_LEAD | BTC: 0.9212 (@67696.4) | ETH: -0.4843 (@2085.76)
[16:30:12] 💎 ETH_LEAD | BTC: -0.4850 (@67708.3) | ETH: 0.8233 (@2086.59)
[16:30:43] NEUTRAL | BTC: 0.5357 (@67605.2) | ETH: -0.0235 (@2084.22)
[16:31:14] 🚀 IGNITION | BTC: 0.9359 (@67584.0) | ETH: 0.5236 (@2082.37)
[16:31:45] 🚀 IGNITION | BTC: 0.9830 (@67613.1) | ETH: 0.7703 (@2083.68)
[16:32:17] NEUTRAL | BTC: -0.1620 (@67565.2) | ETH: 0.6498 (@2082.99)
[16:32:48] NEUTRAL | BTC: -0.1963 (@67574.7) | ETH: 0.8726 (@2082.4)
[16:33:19] NEUTRAL | BTC: 0.0624 (@67536.6) | ETH: 0.2562 (@2081.17)
[16:33:50] NEUTRAL | BTC: -0.0983 (@67538.9) | ETH: -0.2647 (@2081.99)
[16:34:22] NEUTRAL | BTC: 0.1716 (@67517.0) | ETH: 0.4680 (@2080.05)
[16:34:53] NEUTRAL | BTC: 0.6184 (@67480.7) | ETH: 0.1932 (@2078.7)
[16:35:24] 🚀 IGNITION | BTC: 0.4227 (@67490.1) | ETH: 0.5694 (@2077.87)
[16:35:55] NEUTRAL | BTC: 0.4752 (@67415.7) | ETH: 0.3958 (@2075.06)
[16:36:26] NEUTRAL | BTC: -0.6052 (@67371.8) | ETH: 0.2861 (@2074.16)
[16:36:58] NEUTRAL | BTC: 0.4465 (@67372.3) | ETH: 0.2644 (@2073.63)
[16:37:29] NEUTRAL | BTC: 0.7921 (@67327.1) | ETH: 0.2819 (@2072.26)
[16:38:00] NEUTRAL | BTC: 0.8423 (@67292.9) | ETH: -0.0930 (@2071.48)
[16:38:32] ⚠️ BTC_LEAD | BTC: 0.7921 (@67290.7) | ETH: -0.5115 (@2071.54)
[16:39:03] NEUTRAL | BTC: 0.0307 (@67272.7) | ETH: -0.2127 (@2071.04)
[16:39:34] NEUTRAL | BTC: -0.2037 (@67282.1) | ETH: 0.3966 (@2070.95)
[16:40:06] 💎 ETH_LEAD | BTC: -0.8612 (@67295.7) | ETH: 0.9360 (@2070.59)
[16:40:37] NEUTRAL | BTC: 0.0649 (@67325.7) | ETH: 0.4745 (@2071.77)
[16:41:08] NEUTRAL | BTC: -0.8887 (@67229.9) | ETH: -0.0821 (@2068.83)
[16:41:40] NEUTRAL | BTC: -0.4873 (@67207.8) | ETH: -0.2845 (@2068.63)
[16:42:11] 🚀 IGNITION | BTC: 0.8490 (@67218.7) | ETH: 0.9473 (@2069.38)
[16:42:42] 🚀 IGNITION | BTC: 0.5449 (@67187.4) | ETH: 0.6807 (@2068.87)
[16:43:13] NEUTRAL | BTC: 0.0256 (@67166.1) | ETH: 0.7606 (@2068.51)
[16:43:45] NEUTRAL | BTC: 0.7186 (@67061.5) | ETH: -0.1958 (@2063.29)
[16:44:16] 🚀 IGNITION | BTC: 0.9766 (@67096.6) | ETH: 0.5751 (@2064.6)
[16:44:47] NEUTRAL | BTC: -0.6378 (@67181.1) | ETH: -0.8124 (@2067.23)
[16:45:18] NEUTRAL | BTC: -0.4913 (@67160.4) | ETH: -0.0826 (@2065.91)
[16:45:49] ⚠️ BTC_LEAD | BTC: 0.7354 (@67062.6) | ETH: -0.6398 (@2062.0)
[16:46:21] NEUTRAL | BTC: 0.0511 (@67100.1) | ETH: -0.6508 (@2063.02)
[16:46:52] NEUTRAL | BTC: -0.6591 (@67106.6) | ETH: -0.5895 (@2064.38)
[16:47:23] ⚠️ BTC_LEAD | BTC: 0.6198 (@67108.2) | ETH: -0.4993 (@2064.33)
[16:47:54] NEUTRAL | BTC: -0.6093 (@67051.4) | ETH: 0.1766 (@2061.65)
[16:48:26] NEUTRAL | BTC: -0.4453 (@67036.3) | ETH: -0.4989 (@2060.37)
[16:48:57] NEUTRAL | BTC: -0.5504 (@67010.7) | ETH: 0.0194 (@2059.46)
[16:49:28] ⚠️ BTC_LEAD | BTC: 0.6051 (@66863.0) | ETH: -0.8629 (@2055.0)
[16:50:00] NEUTRAL | BTC: 0.8495 (@66886.5) | ETH: 0.2264 (@2055.45)
[16:50:31] NEUTRAL | BTC: 0.3853 (@66876.5) | ETH: -0.3952 (@2055.66)
[16:51:02] NEUTRAL | BTC: -0.7572 (@66877.2) | ETH: -0.7889 (@2055.19)
[16:51:33] ⚠️ BTC_LEAD | BTC: 0.9229 (@66780.1) | ETH: -0.7414 (@2050.1)
[16:52:05] NEUTRAL | BTC: -0.5722 (@66543.9) | ETH: -0.9159 (@2042.33)
[16:52:36] NEUTRAL | BTC: -0.1379 (@66613.6) | ETH: 0.2812 (@2045.53)
[16:53:07] 💎 ETH_LEAD | BTC: -0.9839 (@66577.7) | ETH: 0.5858 (@2042.34)
[16:53:39] NEUTRAL | BTC: 0.9266 (@66610.4) | ETH: 0.3388 (@2043.52)
[16:54:10] NEUTRAL | BTC: 0.5391 (@66512.7) | ETH: -0.1635 (@2041.81)
[16:54:41] NEUTRAL | BTC: -0.0644 (@66522.1) | ETH: 0.4516 (@2042.94)
[16:55:12] NEUTRAL | BTC: 0.7965 (@66517.4) | ETH: 0.0260 (@2041.71)
[16:55:44] ⚠️ BTC_LEAD | BTC: 0.9069 (@66525.6) | ETH: -0.7203 (@2042.29)
[16:56:15] ⚠️ BTC_LEAD | BTC: 0.5934 (@66428.6) | ETH: -0.6698 (@2037.28)
[16:56:46] NEUTRAL | BTC: 0.8017 (@66473.9) | ETH: 0.2577 (@2040.81)
[16:57:17] NEUTRAL | BTC: 0.3869 (@66534.0) | ETH: -0.1664 (@2042.99)
[16:57:49] ⚠️ BTC_LEAD | BTC: 0.5946 (@66563.6) | ETH: -0.9012 (@2043.87)
[16:58:20] NEUTRAL | BTC: 0.1351 (@66566.0) | ETH: 0.5751 (@2044.6)
[16:58:51] NEUTRAL | BTC: 0.3667 (@66597.9) | ETH: 0.0210 (@2045.6)
[16:59:22] NEUTRAL | BTC: -0.8179 (@66588.7) | ETH: 0.0196 (@2046.48)
[16:59:54] NEUTRAL | BTC: 0.8164 (@66569.5) | ETH: -0.3619 (@2045.23)
[17:00:25] NEUTRAL | BTC: -0.5269 (@66603.6) | ETH: 0.0225 (@2046.12)
[17:00:57] NEUTRAL | BTC: -0.1907 (@66656.0) | ETH: 0.2994 (@2047.04)
[17:01:28] NEUTRAL | BTC: -0.0177 (@66614.1) | ETH: 0.1621 (@2046.79)
[17:01:59] NEUTRAL | BTC: -0.6211 (@66681.3) | ETH: 0.2891 (@2049.0)
[17:02:30] NEUTRAL | BTC: -0.4477 (@66747.9) | ETH: -0.6794 (@2052.31)
[17:04:05] NEUTRAL | BTC: 0.4585 (@66714.0) | ETH: 0.3404 (@2050.23)
[17:04:36] NEUTRAL | BTC: 0.8717 (@66778.5) | ETH: 0.3927 (@2051.28)
